LONGITUDE,LATITUDE
-2.2688477,53.54393
-1.559045871,52.761687934
-0.484282607,51.428568154
-0.6171727,51.6652311
-2.5176977,53.0698845
-0.711328,52.1649461
-3.052516419,53.215616432
-2.2073072,53.5852708
-2.5284766,53.2545996
0.017804,51.4385644
-1.4285866,54.6948657
-0.7563477,51.4079074
-1.593126571,54.933251052
-1.5005416,54.8960864
-1.336361486,54.559691952
-1.571939,53.658936
-0.807999708,51.413856264
-0.7818471,53.4091241
-0.811886,52.0595826
-0.5063146,51.458779
-0.327118859,51.498857113
-1.47692889,53.684488406
-1.61605,55.0044
-1.5038492,53.6754266
-1.2326983,54.66836
-1.625832742,53.84174253
-1.124448739,53.514707447
-1.2887738,53.611173
-1.291287809,51.670445408
-0.7567572,51.5195832
-1.2405522,52.6489308
-1.4520174,53.2571577
-2.365499693,53.40620002
-0.2768271,51.6283022
-0.247629248,51.54060943
-1.54982,54.9202367
-2.108445075,53.269339428
0.3362281,51.4744412
-1.4719383,52.5084064
-1.2676952,51.760156
-2.042460912,52.584894824
0.002089776,51.369031962
-1.1502962,53.9840973
-1.4048587,52.69009369
0.600968331,51.356027012
-1.426758,53.3442263
-0.883654839,52.246499184
-0.820962,51.8172639
-2.6513623,53.5011427
-1.7957483,52.5488233
-0.4206673,51.5363123
0.5086464,51.3797705
-0.288357885,52.214105722
-2.4549231,53.6971593
-0.8200126,52.2691214
-1.5237719,54.9728629
-1.301444325,53.022484038
-1.4225108,50.8638282
-1.3512051,51.0444063
-1.8207462,54.8475357
-1.159403,52.9248935
-1.1450237,52.6055598
-1.2772524,52.9338281
-1.415033063,54.905409554
-0.312576592,51.498217174
0.585476604,51.337725126
-1.494205607,53.711709761
-1.574422445,52.75766469
-0.695942715,51.642498003
-2.88625,53.790764
-0.2631825,51.3682341
-0.425201543,51.425782261
-1.3428038,53.4205606
-1.132901818,52.912579774
0.119809074,51.374379739
-1.5937375,52.7476546
-1.659346901,52.633394794
-1.882145,52.5725271
-0.319957025,51.49974458
-1.455715299,53.99891924
-1.5236638,55.179146
-1.829254143,53.848282287
-1.6956762,52.6390885
-0.851405242,51.415956138
-0.293406,51.3917
-2.539627478,53.596501623
-3.0014866,53.3710504
-2.1955766,53.4339477
-1.298403693,51.062980113
-2.8982736,53.2873637
-1.609717011,53.695135643
-0.7403609,51.7999273
-1.5045007,54.9582946
-1.468940969,53.354968753
-1.8647667,53.7027892
-1.0737501,52.9614079
-1.524005371,52.925634907
-1.7629177,53.7818039
-1.8357651,52.5443532
0.541727981,51.284357008
-1.418881752,53.654232748
-1.1741644,50.8141483
-1.64818,55.0091244
-1.127503,53.969967
-1.4827974,52.4179063
-0.445745332,51.642139298
-1.4495246,50.9709067
-1.4691359,54.0082583
0.5070103,51.4074812
-0.255104308,52.290216792
-1.532577479,52.737549636
-2.150461333,53.401845699
-2.7675562,53.4203476
-0.501157816,51.643316319
-1.4661043,53.3308054
-1.7978405,53.8474347
-1.5849446,54.9804865
-2.951385614,53.27840207
-1.666199737,54.651011581
-1.164293545,53.088627746
-2.1195676,51.4689456
-2.7617418,53.4488223
-1.5030954,53.3575232
-1.047041882,52.706377751
-0.060891844,51.390339934
-1.6121971,53.7002943
-2.2351974,53.4218282
-0.503437372,51.341563659
-1.261836599,51.410247313
-0.011294,51.3406535
-2.22627271,53.43111653
-1.642954395,53.83893826
-1.399601303,53.628062095
-1.50945,53.7384492
0.037770867,51.446538071
-2.653310339,53.552340823
-1.485332648,53.660688874
-3.0357907,53.79833
-0.0918449,51.4142595
-0.078838505,51.625866296
-1.5344163,55.1221359
-1.580504,55.0153562
-0.600738698,51.698479405
-0.8978232,52.7539423
-0.1500634,51.114198
-0.2153194,51.24527
-0.588637474,51.674055333
-0.817789826,52.437627263
0.604563877,51.360575334
-3.0479057,53.2098549
-1.4839394,50.9877872
0.333249,51.4747612
-2.4651391,53.6950637
-2.648412,53.380565
-2.2401176,53.454701
-2.1395502,53.2529438
-0.740710363,52.393565156
0.107442923,51.487314923
-1.49425026,52.966994248
-1.2750573,52.5477939
-0.0903017,51.6221441
-0.257631546,51.372101853
-0.6004212,51.2318094
-0.2752118,51.5933261
-2.4144893,53.7708389
